,Year,Player,PF,PTS
20325,2010,Rasho Nesterovic,54,163
4405,1976,Freddie Boyd,54,172
8140,1986,Kevin McKenna,54,174
1263,1958,Larry Friend,54,175
23333,2015,Phil Pressey,54,177
761,1953,Fred Scolari,54,178
23533,2016,James Anderson,54,179
724,1953,Bill Mlkvy,54,181
21729,2013,Rodrigue Beaubois,54,181
19662,2009,Tyronn Lue,54,183
22737,2014,Dennis Schroder,54,183
14275,1999,Chris Morris,54,184
11863,1995,Jon Barry,54,191
22585,2014,Doron Lamb,54,191
5204,1978,C.J. Kupec,54,195
19813,2009,Thabo Sefolosha,54,195
4765,1977,John Gianelli,54,207
6382,1981,DeWayne Scales,54,215
5961,1980,John Mengelt,54,219
2466,1967,Chico Vaughn,54,220
8886,1988,Reggie Lewis,54,220
21177,2012,Andray Blatche,54,221
6151,1981,Bob Dandridge,54,230
11079,1993,Sean Higgins,54,240
14092,1999,Sherman Douglas,54,247
23136,2015,Justin Holiday,54,254
20823,2011,Eugene Jeter,54,255
6035,1980,Sam Smith,54,259
16123,2003,Juan Dixon,54,270
4367,1975,Bobby Wilson,54,276
23506,2015,Brandan Wright,54,280
11171,1993,Tracy Moore,54,282
24173,2017,Trey Burke,54,285
12613,1996,Lawrence Moten,54,291
16970,2004,DeShawn Stevenson,54,291
23856,2016,Boban Marjanovic,54,297
3078,1971,Bob Arnzen,54,301
7189,1983,Rory White,54,324
13458,1998,Chauncey Billups,54,328
11522,1994,Greg Graham,54,338
7239,1984,Ron Brewer,54,348
9120,1989,Steve Alford,54,359
9020,1988,Jon Sundvold,54,421
18927,2008,Pau Gasol,54,508
5076,1978,Phil Chenier,54,509
7529,1984,Mark West,55,37
19490,2009,DeSagana Diop,55,56
1770,1962,Chuck Noble,55,72
8461,1987,Steffond Johnson,55,74
11739,1994,Tree Rollins,55,76
18975,2008,Trenton Hassell,55,76
6630,1982,Clarence Kea,55,81
17135,2005,Calvin Booth,55,82
18762,2008,Joel Anthony,55,85
22888,2015,Joel Anthony,55,87
21371,2012,Ryan Hollins,55,89
18209,2006,Eric Williams,55,91
17291,2005,Ben Handlogten,55,95
23400,2015,Kyle Singler,55,95
24490,2017,Andrew Nicholson,55,100
9485,1989,Ray Tolbert,55,103
23720,2016,Tyler Hansbrough,55,104
3374,1972,Johnny Egan,55,110
15010,2001,Calvin Booth,55,112
18990,2008,Robert Horry,55,112
4336,1975,Neal Walk,55,116
14654,2000,Tom Hammonds,55,117
9822,1990,Johnny Moore,55,118
19125,2008,Dikembe Mutombo*,55,118
16136,2003,Danny Ferry,55,119
14819,2000,Scott Padgett,55,120
13836,1998,Brian Shaw,55,121
7488,1984,Larry Spriggs,55,124
10840,1992,Rory Sparrow,55,124
8911,1988,Kevin McKenna,55,126
10648,1992,Brian Howard,55,131
13288,1997,Donald Royal,55,136
13947,1998,Travis Williams,55,136
16524,2004,Tony Battie,55,136
2651,1968,John Wetzel,55,139
13204,1997,Martin Muursepp,55,139
9729,1990,Avery Johnson,55,140
1798,1962,Sam Stith,55,141
3723,1973,Don May,55,144
1165,1957,Lew Hitch,55,145
20159,2010,Jordan Hill,55,147
12907,1997,Willie Burton,55,148
12908,1997,Mitchell Butler,55,148
12664,1996,Ed Pinckney,55,150
13073,1997,Stephen Howard,55,150
24476,2017,Donatas Motiejunas,55,150
21569,2012,Craig Smith,55,156
9424,1989,Scott Roth,55,158
16173,2003,Marcus Haislip,55,161
5854,1980,Mike Green,55,162
13478,1998,Rick Brunson,55,162
3696,1973,Gus Johnson*,55,163
8224,1986,David Thirdkill,55,163
14491,2000,Toby Bailey,55,163
1393,1959,Vern Hatton,55,166
18338,2007,Dan Dickau,55,166
21578,2012,Nolan Smith,55,167
7635,1985,Mike Dunleavy,55,169
15644,2002,Howard Eisley,55,171
24615,2017,Hollis Thompson,55,171
21842,2013,Derek Fisher,55,175
14772,2000,Jeff McInnis,55,180
17638,2005,Damien Wilkins,55,183
13533,1998,Emanual Davis,55,184
12800,1996,Gerald Wilkins,55,188
24496,2017,Nerlens Noel,55,188
21912,2013,Jordan Hill,55,194
20348,2010,Oleksiy Pecherov,55,197
23477,2015,Travis Wear,55,199
7577,1985,Cory Blackwell,55,202
1703,1962,Barney Cable,55,206
22720,2014,Luke Ridnour,55,206
19899,2009,Damien Wilkins,55,218
23507,2015,Dorell Wright,55,219
23084,2015,Archie Goodwin,55,231
21957,2013,DeQuan Jones,55,233
21258,2012,Toney Douglas,55,237
23834,2016,Courtney Lee,55,250
20696,2011,Maurice Evans,55,251
8049,1986,Steve Harris,55,257
19229,2008,Kirk Snyder,55,261
3194,1971,Jim King,55,264
18167,2006,Beno Udrih,55,275
15745,2002,Joe Johnson,55,277
22962,2015,Isaiah Canaan,55,278
3085,1971,Johnny Baum,55,286
22020,2013,Eric Maynor,55,291
22042,2013,Patty Mills,55,294
19471,2009,Antonio Daniels,55,300
16418,2003,Rod Strickland,55,320
5788,1980,Phil Chenier,55,326
18094,2006,Jalen Rose,55,330
17896,2006,Troy Hudson,55,342
16159,2003,Gordan Giricek,55,387
23912,2016,Gary Neal,55,390
15441,2001,Rod Strickland,55,401
5586,1979,Bob McAdoo*,55,411
10871,1992,Sam Vincent,55,411
23342,2015,Tayshaun Prince,55,434
22237,2013,Lou Williams,55,551
15377,2001,Joel Przybilla,56,27
20018,2010,Brian Cardinal,56,48
10629,1992,Scott Hastings,56,58
19759,2009,Johan Petro,56,60
466,1951,Herb Scherer,56,68
6725,1982,Kevin Restani,56,74
17750,2006,Andrew Bynum,56,74
18720,2007,Aaron Williams,56,76
401,1951,Tony Lavelli,56,99
6787,1982,Kermit Washington,56,100
3919,1974,Dick Garrett,56,101
14830,2000,Chuck Person,56,102
675,1953,Red Holzman*,56,103
6097,1981,Mel Bennett,56,105
22922,2015,Tarik Black,56,105
1783,1962,Joe Ruklick,56,108
5256,1978,Willie Norwood,56,110
9252,1989,Jack Haley,56,110
10483,1992,William Bedford,56,114
9737,1990,Steve Johnson,56,117
9808,1990,George McCloud,56,118
17708,2006,Lonny Baxter,56,118
16779,2004,Brevin Knight,56,123
2716,1969,Jim Fox,56,124
489,1952,Cliff Barker,56,126
8219,1986,Greg Stokes,56,126
18214,2006,Corliss Williamson,56,126
11634,1994,Mark Macon,56,127
16211,2003,Steven Hunter,56,130
3933,1974,Matt Guokas,56,132
21824,2013,Chris Duhon,56,133
2346,1966,George Wilson,56,135
15505,2002,Tariq Abdul-Wahad,56,135
1763,1962,Bob McNeill,56,138
7167,1983,Ray Tolbert,56,142
3834,1973,Walt Wesley,56,144
5147,1978,Greg Griffin,56,145
18847,2008,Mardy Collins,56,145
7905,1985,Ray Williams,56,147
19120,2008,Alonzo Mourning*,56,149
24004,2016,Josh Smith,56,151
3223,1971,Larry Mikan,56,158
20017,2010,Marcus Camby,56,162
1727,1962,Gene Guarilia,56,163
15195,2001,Mark Jackson,56,170
8720,1988,Steve Burtt,56,171
3026,1970,Adrian Smith,56,172
4435,1976,Mel Davis,56,174
6842,1983,Dave Batton,56,178
14585,2000,Kornel David,56,179
23255,2015,Andre Miller,56,183
10274,1991,Terry Mills,56,187
12763,1996,Greg Sutton,56,190
6188,1981,Mike Gale,56,192
23684,2016,Channing Frye,56,196
16227,2003,Chris Jefferies,56,197
4924,1977,Phil Sellers,56,198
5755,1980,Tom Boswell,56,203
5095,1978,Derrek Dickey,56,204
17034,2004,Clarence Weatherspoon,56,207
1394,1959,Vern Hatton,56,209
17341,2005,Casey Jacobsen,56,212
22355,2014,Caron Butler,56,213
6927,1983,Sleepy Floyd,56,226
13231,1997,Robert Pack,56,229
17915,2006,Marc Jackson,56,245
21534,2012,Anthony Randolph,56,252
14894,2000,Bryant Stith,56,253
16478,2003,Shammond Williams,56,255
18439,2007,Lindsey Hunter,56,256
8600,1987,Brook Steppe,56,266
19018,2008,Mike James,56,272
12870,1997,Jon Barry,56,285
2083,1965,John Barnhill,56,287
21720,2013,Will Barton,56,295
21267,2012,Wayne Ellington,56,311
8077,1986,Eddie Johnson,56,315
17178,2005,Vince Carter,56,317
21295,2012,Gary Forbes,56,319
18329,2007,Marquis Daniels,56,320
21335,2012,Richard Hamilton,56,326
11886,1995,Scott Brooks,56,341
13463,1998,Muggsy Bogues,56,341
13859,1998,Jerry Stackhouse,56,353
20412,2010,Jerry Stackhouse,56,358
6516,1982,Charlie Criss,56,360
24012,2016,Lance Stephenson,56,369
23513,2015,Thaddeus Young,56,386
12855,1997,B.J. Armstrong,56,389
21952,2013,Wesley Johnson,56,399
21316,2012,Manu Ginobili,56,440
12492,1996,Lucious Harris,56,481
13580,1998,Lawrence Funderburke,56,493
22534,2014,Al Horford,56,538
4303,1975,Cazzie Russell,56,629
367,1951,Chuck Gilmur,57,51
22488,2014,Aaron Gray,57,60
20128,2010,Hamed Haddadi,57,62
16208,2003,Ryan Humphrey,57,64
10541,1992,Wayne Cooper,57,77
13041,1997,Darvin Ham,57,80
18579,2007,Bo Outlaw,57,81
13040,1997,Darvin Ham,57,83
3242,1971,Mike Price,57,84
13117,1997,Joe Kleine,57,84
11378,1994,Keith Askins,57,85
7438,1984,Billy Paultz,57,89
10553,1992,Brad Davis,57,92
12628,1996,Pete Myers,57,92
22825,2014,Jan Vesely,57,93
2436,1967,Dorie Murrey,57,98
18502,2007,Raef LaFrentz,57,100
627,1953,Don Boven,57,104
22476,2014,Rudy Gobert,57,104
22057,2013,Timofey Mozgov,57,108
1011,1955,Don Sunderlage,57,114
17170,2005,Elden Campbell,57,120
19259,2008,Kurt Thomas,57,126
10838,1992,Rory Sparrow,57,127
16191,2003,Juaquin Hawkins,57,134
2171,1965,Cotton Nash,57,137
8779,1988,James Edwards,57,141
4224,1975,Mickey Johnson,57,143
1501,1960,Gene Guarilia,57,145
19534,2009,Devean George,57,147
4425,1976,Barry Clemens,57,171
13268,1997,Stanley Roberts,57,171
17575,2005,Maurice Taylor,57,176
16987,2004,Mike Sweetney,57,180
19201,2008,Sergio Rodriguez,57,180
22536,2014,Robbie Hummel,57,181
21257,2012,Keyon Dooling,57,182
7120,1983,Mike Sanders,57,183
1193,1957,Willie Naulls,57,195
8186,1986,Jerry Reynolds,57,203
11070,1993,Tom Hammonds,57,205
10939,1993,Jon Barry,57,206
13566,1998,Brian Evans,57,206
23041,2015,Cleanthony Early,57,210
19389,2009,Raja Bell,57,212
11601,1994,Stacey King,57,213
19661,2009,Kyle Lowry,57,214
22942,2015,Markel Brown,57,216
6470,1982,Ray Blume,57,226
6962,1983,Tom Henderson,57,259
9076,1988,Tony White,57,261
15356,2001,Mike Penberthy,57,267
13083,1997,Mark Jackson,57,271
4431,1976,Billy Cunningham*,57,274
18046,2006,Jannero Pargo,57,274
16410,2003,DeShawn Stevenson,57,279
14014,1999,Terrell Brandon,57,298
23978,2016,Brandon Rush,57,305
21535,2012,Zach Randolph,57,324
23788,2016,Brandon Jennings,57,332
19084,2008,Stephon Marbury,57,333
16936,2004,Eddie Robinson,57,343
22115,2013,Jason Richardson,57,347
9118,1989,Steve Alford,57,366
18495,2007,Tarence Kinsey,57,369
5660,1979,Ralph Simpson,57,424
24452,2017,Doug McDermott,57,447
13648,1998,Kevin Johnson,57,476
17009,2004,Nick Van,57,490
5976,1980,Calvin Natt,57,511
4148,1975,Austin Carr,57,593
21938,2013,Jared Jeffries,58,44
13977,1999,Keith Askins,58,53
10276,1991,Paul Mokeski,58,57
9969,1990,Chris Welp,58,65
7233,1984,Tom Boswell,58,73
16643,2004,Michael Doleac,58,94
19509,2009,Melvin Ely,58,97
16859,2004,Mamadou N'Diaye,58,98
11087,1993,Stephen Howard,58,104
17551,2005,Theron Smith,58,105
6209,1981,James Hardy,58,115
23758,2016,Ryan Hollins,58,116
3228,1971,Rex Morgan,58,117
16314,2003,Mamadou N'Diaye,58,120
373,1951,John Hargis,58,123
7052,1983,Hank McDowell,58,123
20212,2010,Nathan Jawai,58,124
11038,1993,Greg Foster,58,125
14394,1999,Vladimir Stepania,58,127
17885,2006,Alan Henderson,58,127
7714,1985,Major Jones,58,129
18819,2008,Kwame Brown,58,132
21178,2012,Eric Bledsoe,58,132
5904,1980,Rich Kelley,58,133
2665,1969,Cliff Anderson,58,135
10394,1991,Andy Toolson,58,137
23181,2015,Jerome Jordan,58,138
7728,1985,Joe Kopicki,58,145
6502,1982,Bobby Cattage,58,150
13953,1998,David Wingate,58,150
7095,1983,Eddie Phillips,58,152
16831,2004,Chris Mihm,58,152
23858,2016,Jarell Martin,58,153
14698,2000,Anthony Johnson,58,154
13202,1997,Martin Muursepp,58,156
8992,1988,Mike Sanders,58,162
1818,1963,Bill Bridges,58,164
7269,1984,Russell Cross,58,166
4256,1975,Glenn McDonald,58,168
19634,2009,James Jones,58,169
1401,1959,K.C. Jones*,58,171
4102,1975,Rick Adelman,58,175
16252,2003,Dan Langhi,58,183
9191,1989,Charles Davis,58,185
10520,1992,Steve Burtt,58,187
17686,2006,Chucky Atkins,58,187
12864,1997,Stacey Augmon,58,189
17980,2006,Sean May,58,189
13022,1997,Anthony Goldwire,58,190
10148,1991,Tate George,58,192
15766,2002,Rusty LaRue,58,193
22047,2013,Darius Morris,58,194
12247,1995,B.J. Tyler,58,195
6038,1980,Jim Spanarkel,58,198
15438,2001,Mark Strickland,58,201
10971,1993,Willie Burton,58,204
23162,2015,Jonas Jerebko,58,207
9681,1990,Greg Grant,58,208
24099,2017,Quincy Acy,58,209
17054,2004,Frank Williams,58,219
5512,1979,Joe Hassett,58,223
4838,1977,Freddie Lewis,58,224
5306,1978,John Shumate,58,224
9888,1990,Brian Rowsom,58,225
4379,1976,Dan Anderson,58,227
24246,2017,Tyler Ennis,58,228
7276,1984,Charles Davis,58,231
10690,1992,Jim Les,58,231
23611,2016,Ian Clark,58,236
21482,2012,Mike Miller,58,237
2933,1970,Shaler Halimon,58,241
23076,2015,Alonzo Gee,58,241
3451,1972,Willie McCarter,58,243
10677,1992,Negele Knight,58,243
9293,1989,Shelton Jones,58,244
10135,1991,Jim Farmer,58,249
15177,2001,Eddie House,58,251
10133,1991,Jim Farmer,58,255
23461,2015,Anderson Varejao,58,255
13787,1998,Shawn Respert,58,257
2219,1966,John Barnhill,58,262
22014,2013,Cartier Martin,58,270
22349,2014,Chase Budinger,58,274
23227,2015,Shawn Marion,58,276
16852,2004,Troy Murphy,58,279
20712,2011,Jonny Flynn,58,279
1912,1963,John Rudometkin,58,289
10637,1992,Sean Higgins,58,291
21305,2012,Sundiata Gaines,58,291
